team,players,age,possession,goals,assists,penalty_kicks,penalty_kick_attempts,yellows,reds,expected_goals,expected_assists,progressive_carries,progressive_passes
Arsenal,24.633849426960644,26.73459710648529,53.74489902877911,64.69568567520527,56.851858582152815,1.857927855362638,1.8937299872823747,65.44290009814277,5.612646756322239,57.854822428631444,46.6699541540684,749.002938774854,1766.045903255239
Aston Villa,28.538761628169027,25.593524455183466,53.45342614462982,57.8169603861895,45.85777124604655,2.7312495965240875,5.578612410357949,75.64848689453895,2.7534822471161653,58.890730828439445,44.55216900130527,746.5152039531861,1373.5297225570484
Bournemouth,29.693091535443795,24.257436268860207,49.28710673461214,56.85278697434354,41.40386302320615,5.811679678627488,7.191262318254125,98.581272337293,3.1140061561119508,59.40213555961089,45.09473744119932,666.8481781850971,1501.5195016897737
Brentford,27.59635637973409,26.072913560295746,49.95222121007567,64.20458200888166,45.435664568359606,5.210796355798953,6.471137049620728,63.64277316283014,1.0497200281336658,52.708131575773464,37.888476461215305,605.5492599766615,1380.8139042842222
Brighton,33.20390779887719,24.992318233514343,48.804001215177905,59.64301577676178,38.53579276288546,6.345995624474697,6.167186996237347,84.48530737838695,3.21525019911266,60.607057303859655,38.24962612962468,816.3361175029027,1340.2121828819706
Chelsea,28.194591142608235,23.083657290569576,54.89600289374574,63.12992037959288,45.19043674542675,4.1677374825489535,5.363587115709886,96.06146378406325,2.0253222371931776,63.583596775338926,54.12374232843644,914.1450323464999,1645.300635704549
Crystal Palace,28.83630512474337,28.012419412820638,39.230143157929774,50.57509917313961,37.89063740524404,3.103360251627631,3.6921028402362954,77.81731090216827,3.992889686585776,53.79405917066643,41.899450672970396,512.4142063428433,1153.758718262128
Everton,26.37464839386463,28.404725053972715,37.44493345816991,41.065316662224845,25.25207374612983,2.172600397118787,1.9958602864704322,75.84631593779872,1.8840442372191764,41.618888910153295,30.027350861801114,432.9003438625215,952.7262513140089
Fulham,24.358180965225575,30.491947246827312,54.544262130317094,51.98895281108457,42.28444743826127,2.9206387466608454,4.067694671353807,84.00496781772118,1.9542884684939006,51.3665366094757,38.436636686963034,847.319781906583,1640.7937451272326
Ipswich Town,34.69091780448181,27.223677118282644,37.031447464120895,34.597308021066375,23.552984240090108,2.196020254265779,2.188578874578695,98.14468595457943,5.263912669747065,35.20608496291354,24.82054316621951,464.5594670949251,860.8163163586518
Leicester City,31.464618064221785,24.852230343306225,42.08707558443554,31.248798277696523,25.203854897173493,2.14377525469344,2.709900149897266,83.73680322692121,0.0,33.00688472971677,24.934434750354413,574.6659611773688,1139.268539260996
Liverpool,25.184346063497372,25.44032945173877,58.752616391577405,80.03803741970805,62.12286712009871,9.080479869507913,8.555175448466413,59.97426098258095,1.9859851887572306,73.68406925204168,54.251201133347344,792.3921894975522,1696.266983189566
Manchester City,30.799784738410544,27.65019588885894,60.679770546225626,70.56423329437317,50.131349318769196,2.0099715532488145,2.7950992127469796,54.68618220530621,2.0224617964085807,71.67906301170736,51.350012039239765,1045.8293801361804,1992.799190138899
Manchester Utd,28.14966470181023,27.179561486558146,55.400845262218695,42.24020002011304,28.513976424295393,2.922041770962754,3.071864339318271,92.22288990350108,3.0458961872366372,49.72034434769186,41.02024381924062,709.1913258944336,1336.2514097944324
Newcastle Utd,24.928142431354104,25.454219431249474,47.08030935014776,69.00671801571538,48.20221197488125,4.67036519637613,5.419483078467353,73.13668160817092,1.0563715893785952,59.13918162783325,48.94779877401066,776.1254888562515,1489.0171477395693
Nott'ham Forest,22.017329395252947,25.06027814562978,36.82286759430593,62.005420816157255,40.15773129609419,2.939898563853443,2.829876861398698,89.99928958102963,1.9984523017966016,42.22658786699151,32.89891753891468,576.8278332787935,988.685797201528
Southampton,36.074640367229186,25.052513365555985,46.05547389400316,24.959682632536094,15.374148376705667,0.0,2.120246419050432,93.23667646744366,3.1169791270456377,34.32770194700542,25.973495869190604,574.662356708675,1020.4236049197152
Tottenham,28.13071128653552,27.222836249715066,59.517189607968774,63.94198106078468,42.64660244735867,2.1940405055119125,2.83110102181726,63.4640995450644,0.9662992027461451,57.35631583912665,44.54420121890371,750.1646373212077,1547.7349842471433
West Ham,27.402386505214444,26.694141891397432,48.882532793426485,39.077552194147955,23.987620954434988,2.998180963940903,3.2634543095606756,88.341606372673,3.2614867866756896,41.372645944218824,33.00963150081357,621.1984765090976,1149.5736084912226
Wolves,30.319641836722774,29.456812855303426,46.134330300889594,47.65323673399732,43.26249048971253,0.0,0.0,81.02888224353786,1.9753595909473964,40.987121397086035,37.648031631272296,544.9478300959277,1169.3440341628268
Arsenal,26.725808840665007,26.855897596977186,61.88311050869972,59.802541347078,48.33456957839861,1.8496860529502257,1.8580282613829189,73.31386990880567,6.344940770492485,60.056237983789096,43.19758427435857,835.0514713492885,1924.4694884275789
Aston Villa,25.544281632073297,27.754476577748314,49.402232129568745,54.42778041204045,43.85579971329617,2.765023472996033,5.410944912968947,72.53381620653352,3.125561696358642,50.58924376525769,43.940018768417794,763.3803817715367,1346.2274673867125
Bournemouth,26.627646681121604,23.72335927409653,47.28070922411639,52.62460352086454,42.778814682237844,6.113299082742185,7.218089919919938,99.10823924852232,3.281232154348788,58.648909205584594,38.39668895637759,697.6583621182125,1302.6887850306491
Brentford,26.704683649051788,28.715146043708323,46.76093937105738,58.864818956100706,40.64857385801316,4.896283648123931,6.007599539376444,64.5937714950661,1.0176476014085687,61.74819664456201,44.55866988094417,568.0502362195842,1264.7022302671276
Brighton,34.1675240536725,25.521703831520192,54.86157609097616,63.54482356472023,38.02742116292298,6.510306158635337,5.834055029818901,75.4973906406978,3.0940178590268284,51.68576391785147,42.51662819971165,842.2811351717386,1467.2874052306852
Chelsea,27.672944113597346,26.496381357487092,58.65247508539255,63.71169760336217,49.32941773293595,4.186580286847601,5.023793945651902,91.4739930019196,2.1848366519008593,66.8685784881683,54.012238706937225,925.4513704503374,1684.3810403872471
Crystal Palace,31.65641701339979,26.77207498948356,47.32026477933151,51.69759342572027,33.44170132483539,3.0747689142277324,4.393490751075207,78.44554988081251,3.7177953426594255,63.826463891427004,45.57489738136988,526.2045010376393,1195.2584778250673
Everton,24.989322992029336,30.478426136762167,37.90173218784205,34.8564443569624,24.854925126282232,2.032205511110072,2.179174756943322,78.83654704463287,1.9470429592997798,41.54458900753952,33.17195058247591,456.7027385265082,936.1772953409899
Fulham,23.978141835840646,29.796322858067594,48.67350136486149,49.375189938349145,39.628928231842494,3.116803140023683,3.8275352186728555,78.80064436909149,2.113800319951386,43.91040375786256,34.51852768195776,765.4011509904811,1635.6759402325988
Ipswich Town,31.22420681209992,27.258723863811234,43.25606124072645,34.55305317696374,24.360469723927338,1.9210941372869235,2.142335754221297,84.18632535624202,4.787254038699199,32.87949249292405,21.956610980207234,507.21328810157905,871.8842370280486
Leicester City,32.28854783120178,27.483383412278286,41.14150650964754,33.266916022058936,24.774953844770096,2.141264472307176,3.238618198003934,91.2617489159544,0.0,32.70382826047227,25.881014509111633,569.1525972172604,986.6415229823008
Liverpool,24.547777814826784,27.33610219275795,61.62151777143353,77.96659650736964,66.71596592013779,8.870147712720991,9.157413798643114,71.03736703461297,1.9981853726105603,78.95218728842136,59.57995065115583,841.4946901848398,1754.5806005707461
Manchester City,27.0835253596234,25.79515951650396,59.03662042011761,69.72332070518065,53.368667531752976,1.9253304437454413,3.2660084938473712,56.167534724414956,2.188503368301788,65.99372971243189,50.56249386128511,1015.354759362353,1739.898880553398
Manchester Utd,34.070206008703856,28.808627721449373,57.85596035989663,40.495628538702036,29.220071516254364,2.8258019300988755,2.8257299699425897,91.51271785420087,3.2944715960521864,53.5978861780788,36.10766757448986,702.7134237001335,1465.8784443811253
Newcastle Utd,25.818209290448678,25.720087621015235,55.87058441157909,59.74326368571444,46.52300724122281,4.838892973029437,5.900841888242286,65.83735101999993,1.0421712562290333,68.71661507712136,45.12351861470579,657.1541237936844,1653.925076624306
Nott'ham Forest,23.33402519507888,26.448680040197964,44.28231706983863,59.51011642955562,39.085694054832814,3.101722866157918,3.069160486967424,80.82003085345602,2.186193043077517,45.69820794078401,30.938341030275357,569.1557497946926,1007.6285641959422
Southampton,34.56269834284975,27.48904769789707,44.262663306289696,24.765681207599094,15.066066878135576,0.0,1.854190761755281,80.49974820101922,2.714280307267476,30.642457189670143,25.687978822780924,614.9439372422662,1170.9646459239027
Tottenham,33.39784205064798,25.52565324392153,51.29144211540845,57.360365844521354,51.04778541184859,2.1879919760501503,2.7411485291197777,66.75649273588972,0.9141306151652584,52.579825224389545,44.53628843979319,858.8145570241886,1732.4141221118937
West Ham,28.978495419436058,29.993174712540466,50.9413244194051,42.46914099971725,27.34784976659339,2.839374769618011,2.860347251326214,77.39113083319003,3.1578529899534615,50.36188072733058,36.08655688088704,566.2622459102411,1160.972158974779
Wolves,30.27754101803561,28.354782092637716,50.75481526995375,53.95863081883693,42.20238360278616,0.0,0.0,80.31514254734445,1.9664640648739267,44.646950179449846,35.907938098723086,580.2315780687404,1216.7536165858967
Arsenal,26.60018487145588,28.40366340580627,59.25920726458443,65.28664582509677,52.353862135165585,2.0379363507910284,2.0642221845343354,68.67307032891068,5.818457311838964,58.29900458014245,45.32615156159028,756.5794396985226,1891.6539297112383
Aston Villa,27.359202223227893,26.735563863774807,49.17886461431961,52.88061835186554,49.42189102990709,3.0842307569394687,5.460813676856734,76.06390471668313,3.2147141437559483,50.67551027712727,45.184818156399416,654.6582253380182,1441.5101659904756
Bournemouth,30.81720452634081,27.25407635503127,47.50951106986938,57.38177705342439,35.39971334314102,6.475598605614508,7.0186207540494685,93.83969776213323,2.778081375140181,59.70235729847218,42.005770702604956,684.600288007479,1350.7608166643893
Brentford,30.689975354508114,27.55419037401453,45.42249293023652,57.949397094202695,43.87017846702406,4.618008526263136,5.471573158615475,64.96287697854655,1.0459074530540535,52.14901426175266,40.58575687200263,583.1720776319796,1220.6370260542194
Brighton,32.06048658500306,26.28368494005739,52.17397878934757,56.86004767187246,39.51776890340021,6.2681597705612715,5.542794616987073,84.41144365437353,2.9295995381556317,62.09705965126235,38.913442085609354,788.0368601184312,1405.5293609129287
Chelsea,26.787927192726592,24.196744543503836,61.76972406821487,64.61115559012978,44.763940715081894,4.0009938031407595,4.98472673584149,98.05688659338377,2.119932352542446,72.00435002989735,49.298707421445656,809.5560615200309,1452.2474853133967
Crystal Palace,27.3309484375486,27.22754476139202,40.60405907460389,50.68255305034137,33.42184037427699,2.8849750620305423,4.34955458954633,82.740985686287,3.7156988461588445,54.35284517037901,49.012903943647714,501.4688635763533,1077.7960783333726
Everton,27.47549983566273,30.940609167826413,43.526416067520415,40.14289788456718,27.235427842282405,1.837899373088263,1.8754736418283198,72.2623870567947,1.932309860216391,42.841177148904215,30.620051554904485,501.77407708881566,1119.0875151500447
Fulham,27.86466154951828,28.182287164733573,48.23740958738033,54.71642863331641,41.00168196158703,3.2261833340697166,4.099293472411719,73.14425879499265,2.045602256087932,47.2587731798855,36.51321075324833,810.8121633460137,1488.9487620037316
Ipswich Town,29.78065896615721,24.591926928110848,43.041238133899206,35.64413642085768,22.673447013083827,2.1034302554272357,2.014236172896804,84.31530905112386,4.796133561439036,30.600008681839064,23.59686300351642,479.00902044414624,898.9160327729765
Leicester City,29.019361507340985,26.40335869695574,42.06509676520725,35.50876965745274,26.660318850841886,1.8897578577313214,2.7570959771128463,87.52678975257184,0.0,34.99135990430832,25.548041037286488,564.2601912111543,1158.8233070917745
Liverpool,23.344497393139477,30.34271161184118,60.747437659271185,82.41190329508753,66.82585559953128,8.257106909136196,9.27881270608355,66.44674895719423,1.8658117644531769,85.86413585774068,62.08564507580865,851.4166517065746,1964.3621789932151
Manchester City,28.209287743108174,26.998229549465034,58.316876698608915,64.7507863002171,48.3783976520574,2.0686064379037505,2.7311732473339863,53.64228254296469,2.1931205556423947,66.19714182085478,56.04774850758376,1072.9223911216586,1828.2628107630344
Manchester Utd,32.51388328513062,24.92106449748037,53.15108890237753,43.391052490801385,26.238786924381493,3.2343899180665527,3.0036802386764614,88.12666196910385,2.7263176415670936,45.99819266047046,34.41542717124616,660.3507612180697,1426.9507719126764
Newcastle Utd,24.430976115843734,26.316034288952327,52.23742678423512,66.82385925938455,52.64394218545972,5.021390445858454,5.619698928310173,69.43679264482958,0.9205275301193379,60.72798574748028,43.79203613412019,731.4611920623668,1573.9405660300408
Nott'ham Forest,23.60182807122497,26.99813476853617,37.70992893745145,55.85564089806186,42.772288696323706,3.2591387075639586,3.1449541754357355,89.10282865219872,1.952315099368505,44.44997855414952,34.22079915241502,604.2470067980558,1051.3985811924424
Southampton,35.70418454417933,24.696967936849816,45.6280088561804,25.46961883703851,14.87183406090228,0.0,2.1776217487421685,93.1243659961372,2.731448100017019,30.697597289583474,25.781756855025044,594.8068636555504,1119.4196746016603
Tottenham,30.536956509419095,23.28638696065948,53.031943855101545,65.54292477677703,49.23058361357967,2.1156829420388905,3.256488057267349,65.41404720451509,0.9121415564949916,59.52458522788441,43.43173012798013,883.5464913816795,1440.3967375016546
West Ham,27.82651283592369,27.96954734765421,44.58328824291015,37.70091116395768,27.335673431793538,2.743378021612909,2.7143565342010714,85.24895276369193,2.9734414122135195,48.7728520451201,31.47753399077692,605.5486371841496,1285.8884239772985
Wolves,28.715387263787495,25.26970928168353,49.213008392634876,46.98426178080992,37.14452494563722,0.0,0.0,83.4428466140949,2.0380021239835195,43.41477750474591,31.193488441661245,548.5666113255708,1124.0737148368657
Arsenal,23.597772747248072,27.25239800641358,60.82294550955139,66.3345489483597,47.967851153454916,1.9295164022588438,1.9904964894829043,68.40038612796882,6.523594311291228,61.54181739344664,41.43090006635651,826.1740812972555,1774.453623957341
Aston Villa,28.729557551694867,29.997930714590954,55.30476101046097,54.69248643474538,46.85064117988027,2.872797044223083,6.513028671383327,78.50334017126777,2.785768235518595,53.42980501469274,45.51076520974165,775.7160680482189,1361.192535152773
Bournemouth,30.84402469752677,26.697806607116302,52.38003347335771,53.93254950746319,37.945960208268694,5.8856439459758345,7.280723757200372,99.01647031092602,2.9924534488246026,58.36807619883476,40.338024273632044,753.9086142561922,1315.2106168564885
Brentford,29.244134419849225,24.827143717062974,45.694512316033844,61.05631443036817,42.727776166912406,5.417606113273861,6.3645056202067725,56.498841566471384,1.087745376786579,63.19865125438578,38.290656809945254,532.3981748463526,1424.706588023325
Brighton,29.302905404842832,27.10868858568282,47.64207116220751,59.965566109558765,39.44167606876303,5.753010803902354,5.895667282321046,72.13136771239628,2.743419067387543,60.06099346515773,42.57810989199222,876.6974570513695,1420.9865239760934
Chelsea,29.77857973028461,22.642225090037737,61.43491591523328,55.6869872700756,49.91362737670632,4.052002690669736,4.821077451743102,95.15619088699412,2.1619728643022045,71.37904229758773,52.07413496326003,924.5771379663346,1636.7045173146785
Crystal Palace,28.837914245846058,27.005061919253865,41.74083592408936,46.7098766915592,38.342228161273596,2.778154112442145,4.10595265361177,74.29393935963321,3.760295555472848,52.866615207287644,46.396987568297305,484.5639138943248,1181.7948631002912
